rank,name,born,sport,country,medals,gold-medals
1,Michael Phelps,6/30/1985,Swimming,United States of America,28,23
2,Larisa Latynina,12/27/1934,Gymnastics,U.S.S.R.,18,9
3,Marit Bjoergen,3/21/1980,Cross-Country Skiing,Norway,15,8
4,Nikolay Andrianov,10/14/1952,Gymnastics,U.S.S.R.,15,7
5,Ole Einar Bjoerndalen,1/27/1974,Biathlon and Cross-Country Skiing,Norway,13,8
6,Boris Shakhlin,1/27/1932,Gymnastics,U.S.S.R.,13,7
7,Ireen Wust,4/1/1986,Speed Skating,Netherlands,13,6
8,Edoardo Mangiarotti,4/7/2019,Fencing,Italy,13,6
9,Ono Takashi,7/26/1931,Gymnastics,Japan,13,5
10,Paavo Nurmi,6/13/1897,Biathlon and Cross-Country Skiing,Finland,12,9
11,Birgit Fischer,2/25/1962,Kayaking,Germany,12,8
12,Bjorn Daehlie,6/19/1967,Cross-Country Skiing,Norway,12,8
13,Kato Sawao,10/11/1946,Gymnastics,Japan,12,8
14,Jenny Thompson,2/26/1973,Swimming,United States of America,12,8
15,Isabell Werth,7/21/1969,Equestrian,Germany,12,7
16,Ryan Lochte,8/3/1984,Swimming,United States of America,12,6
17,Dara Torres,4/15/1967,Swimming,United States of America,12,4
18,Alexei Nemov,5/28/1976,Gymnastics,Russia,12,4
19,Natalie Coughlin,8/23/1982,Swimming,United States of America,12,3
20,Mark Spitz,2/10/1950,Swimming,United States of America,11,9
